value
812
3480
996
1383
1071
896
114
489
79
1443
698
839
553
2342
825
1040
1040
1507
889
1300
1716
828
920
1427
1008
879
987
908
1041
929
1024
935
1380
1040
1194
1316
1608
1284
2589
342
978
803
1005
964
970
1781
0
836
545
479
965
1057
752
350
910
1940
1101
516
344
492
82
132
989
287
551
726
997
619
767
1318
893
1321
1373
1120
1080
980
750
1523
743
1746
697
1048
958
286
688
732
1152
1034
1175
881
899
1652
1002
2195
1036
2551
272
1850
1130
930
1102
1253
1643
1276
1266
852
1038
1051
917
1137
1638
1546
1534
1675
1551
1605
447
570
495
699
1133
607
452
1419
1016
1338
1852
1254
989
1077
2221
1451
1214
467
1332
1144
1127
948
1655
1861
1040
1212
844
1000
518
1002
1328
899
1858
1325
1873
984
2840
2135
2479
1333
2126
785
1198
1797
1702
1227
2001
1480
53
53
2306
1596
2181
2076
1006
1200
907
1168
908
1563
1299
933
1051
881
1908
32
256
249
5488
550
897
1843
11144
49
6
195
905
900
938
2984
0
